dataset,path,size_bytes,size_human,row_count,columns_or_keys,status,route_priority
SUNSEG,outputs/Q1_R14B4B_sunseg_selected_rgb_contamination_audit_fix3_v1/R14B4B_FIX3_SUN_INTERNAL_EXACT_DUPLICATES.csv,54,54.00 B,0,duplicate_type|sha256|count|cluster_ids|pair_keys,OK,0
SUNSEG,outputs/Q1_R14B4B_sunseg_selected_rgb_contamination_audit_fix3_v1/R14B4B_FIX3_SUN_SELECTED_RGB_HASHES.csv,420348,410.50 KiB,980,pair_key|cluster_id|physical_case_id|clip_id|source_split_label|frame_member|width|height|file_sha256|common_rgb_sha256|dhash64_hex,OK,0
SUNSEG,outputs/Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix4_v1/R14C0_ACTION_SEMANTIC_TOKEN_AUDIT.csv,1735,1.69 KiB,24,script|semantic_group|matched_tokens|pass,OK,0
SUNSEG,outputs/Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix4_v1/R14C0_FROZEN_9_STATE_CHECKPOINT_LINEAGE.csv,1930,1.88 KiB,9,model_family|training_seed|checkpoint_path|checkpoint_sha256|checkpoint_bytes,OK,0
SUNSEG,outputs/Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix4_v1/R14C0_SUNSEG_PREGT_RUNTIME_LINEAGE_LOCK.json,8947,8.74 KiB,,status|decision|sun_confirmatory_cohort|historical_action_scripts|checkpoint_count|checkpoint_lineage|action_semantic_audit|pl_one_step_audit_method|information_boundary|next_stage,OK,0
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/R14C1A_CANONICALIZATION_STATE_AUDIT.csv,3696,3.61 KiB,9,model_family|training_seed|model_state_id|source_npz_sha256|destination_npz_sha256|npz_bytes_unchanged|source_index_csv_sha256|destination_index_csv_sha256|rows|artifact_path_fields_rewritten|non_path_scientific_fields_changed|destination_state_lock_sha256,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/R14C1_SUNSEG_MODEL_FRAME_PREDICTION_MANIFEST.csv,6811943,6.50 MiB,8820,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/R14C1_SUNSEG_SOURCE_TENT1_PL_PREDICTION_LOCK.json,8035,7.85 KiB,,status|decision|cohort|model_panel|actions|runner_fix|historical_implementation_lineage|artifacts|descriptive_prediction_behavior_only|information_boundary|next_stage|canonicalization_decision|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_index.csv,769850,751.81 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_lock.json,2925,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260818_source_tent1_pl_index.csv,770154,752.10 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260818_source_tent1_pl_lock.json,2925,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260819_source_tent1_pl_index.csv,768448,750.44 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260819_source_tent1_pl_lock.json,2925,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260817_source_tent1_pl_index.csv,730838,713.71 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260817_source_tent1_pl_lock.json,2897,2.83 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260818_source_tent1_pl_index.csv,734521,717.31 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260818_source_tent1_pl_lock.json,2897,2.83 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_index.csv,738523,721.21 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_lock.json,2897,2.83 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260820_source_tent1_pl_index.csv,768342,750.33 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260820_source_tent1_pl_lock.json,2927,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260821_source_tent1_pl_index.csv,767925,749.93 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260821_source_tent1_pl_lock.json,2927,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260822_source_tent1_pl_index.csv,767382,749.40 KiB,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,OK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260822_source_tent1_pl_lock.json,2927,2.86 KiB,,status|decision|model_family|model_state_id|training_seed|checkpoint_path|checkpoint_sha256|target_cases|physical_cases|mask_shape|packed_bytes|actions|prediction_npz_sha256|index_csv_sha256|historical_lineage|information_boundary|canonicalized_from|canonicalization,OK,100
SUNSEG,outputs/Q1_R14C2A_frozen_safety_estimator_lineage_schema_preflight_fix2_v1/R14C2A_FROZEN_SAFETY_ESTIMATOR_LINEAGE_SCHEMA_AUDIT.json,103902,101.47 KiB,,status|decision|r14c1|r10l0|strong_representation_candidates|block_report|information_boundary|next_stage,OK,0
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/information_boundary_audit.json,747,747.00 B,,sun_rgb_pixels_decoded|source_mask_values_accessed|tent1_mask_values_accessed|pl_mask_values_accessed|sun_gt_path_or_member_accessed|sun_gt_pixels_decoded|sun_outcomes_revealed|dice_computed|delta_dice_computed|harm_benefit_labels_computed|pca_fit_called|pca_refit_called|safety_head_fit_called|safety_head_refit_called|target_calibration|target_threshold_selection|target_feature_selection|target_score_orientation_change|target_case_selection_from_scores|frozen_threshold,OK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_FROZEN_SUNSEG_SAFETY_SCORES.csv,5420704,5.17 MiB,8820,feature_row|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|state_prediction_npz_relpath|state_row_index|morph_fg_fraction|morph_boundary_density|frozen_safety_probability|frozen_operating_threshold|frozen_risk_flag,OK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUNSEG_FROZEN_SAFETY_SCORE_LOCK.json,6114,5.97 KiB,,status|decision|script_version|build|primary_method|target_dataset|target_component|target_frames|physical_cases|model_states|model_frame_rows|representation|estimator|representation_sentinel|source_mask_decode_audit|rgb_cache|information_boundary|upstream_hashes|artifacts|post_score_rules|next_stage,OK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_unlabeled_family_score_summary.csv,315,315.00 B,3,model_family|rows|probability_mean|probability_median|flagged|flagged_fraction,OK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_unlabeled_split_score_summary.csv,299,299.00 B,2,source_split_label|rows|unique_frames|unique_physical_cases|probability_mean|probability_median|flagged|flagged_fraction,OK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/run_log.txt,1328,1.30 KiB,,,OK,99
SUNSEG,outputs/Q1_R14C3C_sunseg_confirmatory_result_audit_and_claim_freeze_fix1_v1/R14C3C_CONFIRMATORY_CLAIM_FREEZE.json,7080,6.91 KiB,,status|decision|source_result|gt_decode_audit|outcome_reproduction|primary_point|physical_case_bootstrap|action_shift_mechanism|supported_claim_flags|paper_level_frozen_interpretation|claims_not_supported|scientific_boundary,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1/INPUT_CANDIDATE_DIAGNOSTICS.json,4627,4.52 KiB,14,,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix1/INPUT_CANDIDATE_DIAGNOSTICS.json,3599,3.51 KiB,14,,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_ANALYSIS_TABLE.csv,1514282,1.44 MiB,13788,physical_id|family|source_dice|risk|harm|z_source_dice|z_risk,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_CLUSTER_BOOTSTRAP.csv,127781,124.79 KiB,2000,rep|risk_coefficient|delta_auroc|delta_auprc,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_FIX2_FORENSIC_PROFILES.json,186692,182.32 KiB,47,,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_INPUT_PROVENANCE.json,469,469.00 B,,mode|table|physical_id_column|family_column|source_dice_column|risk_column|harm_column|delta_dice_column,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_REPORT.txt,913,913.00 B,,,OK,0
PolypGen,outputs/Q1_R16A_source_quality_control_polypgen_v1_fix2/R16A_SUMMARY.json,1647,1.61 KiB,,version|input_provenance|rows|physical_images|families|harm_prevalence|risk_coefficient|lr_stat|lr_p|auroc_quality|auroc_quality_plus_risk|delta_auroc|auprc_quality|auprc_quality_plus_risk|delta_auprc|risk_only_auroc|risk_coefficient_ci95|delta_auroc_ci95|delta_auprc_ci95|bootstrap_requested|bootstrap_completed|ci_scope|deployment_boundary,OK,0
PROMISE12,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/CM6/CM6_PROMISE12_OUTCOMES.csv,467272,456.32 KiB,4131,family|global_index|case_key|slice_index|risk_score|source_dice|tent1_dice|delta_dice|state|harmful|beneficial|source_tp|source_fp|source_fn|tent_tp|tent_fp|tent_fn,OK,0
PROMISE12,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/CM7B/CM7B_PROMISE12_MATCHED_COVERAGE_UTILITY_AUDIT_LOCK.json,3847,3.76 KiB,,status|decision|version|build|scope|cm6_lock_sha256|cm7a_lock_sha256|frozen_policy|matched_random_baseline|point_results|interpretation_boundary|changes_after_gt|artifacts|next_stage,OK,0
PolypGen,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/R10L3C/R10L3C_POLYPGEN_PROSPECTIVE_EXTERNAL_EVALUATION_LOCK.json,4527,4.42 KiB,,status|decision|script_version|build|target_dataset|target_cases|model_states|model_case_rows|outcome_definition|polypgen_gt_decode|frozen_safety_evaluation|outcome_counts|harm_rows|nonharm_rows|benefit_rows|primary_macro_point|information_boundary|upstream_hashes|artifacts,OK,0
SUNSEG,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/R14C3B/R14C3B_SUNSEG_DUAL_ACTION_FROZEN_SCORE_EVALUATION_LOCK.json,9076,8.86 KiB,,status|decision|script_version|build|target_dataset|target_frames|physical_cases|model_states|model_frame_rows|evidence_order|gt_decode|outcome_definition|frozen_safety_evaluation|action_outcomes|action_shift_mechanism|primary_macro_point|bootstrap_valid|information_boundary|upstream_hashes|artifacts,OK,0
Prostate158,outputs/Q1_SAFETTA_storage_cleanup_phase2A_supersession_audit_v1/PROSTATE158_ZIP_AUDIT.json,523,523.00 B,,zip_path|zip_exists|zip_size_bytes|zip_size_human|zip_member_count|zip_uncompressed_bytes|zip_uncompressed_human|zip_crc_test|nonzip_files_beside_zip|nonzip_bytes_beside_zip|nonzip_human_beside_zip|decision|reason,OK,0
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260817_v1/audit.json,1255,1.23 KiB,,script_version|build|seed|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|best_epoch|best_source_val_mean_dice|backbone_pretrain_path|backbone_pretrain_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260817_v1/history.csv,7969,7.78 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|epoch_seconds,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260817_v1/summary.txt,1233,1.20 KiB,,,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260818_v1/audit.json,1284,1.25 KiB,,script_version|build|seed|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|best_epoch|best_source_val_mean_dice|backbone_pretrain_path|backbone_pretrain_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260818_v1/history.csv,7939,7.75 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|epoch_seconds,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260818_v1/summary.txt,1262,1.23 KiB,,,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260819_v1/audit.json,1281,1.25 KiB,,script_version|build|seed|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|best_epoch|best_source_val_mean_dice|backbone_pretrain_path|backbone_pretrain_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260819_v1/history.csv,7965,7.78 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|epoch_seconds,OK,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260819_v1/summary.txt,1261,1.23 KiB,,,OK,100
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/audit.json,1864,1.82 KiB,,script_version|build|architecture|seed|protocol_sha256|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|singleton_safe_batching|train_samples_dropped_per_epoch|training_empty_augmented_masks_allowed|original_source_masks_required_nonempty|source_val_masks_required_nonempty|total_empty_aug_mask_samples|train_min_batch_size|train_max_batch_size|persistent_workers|cublas_workspace_config|best_epoch|best_source_val_mean_dice|backbone_pretrain_descriptor|backbone_cache_path|backbone_cache_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/history.csv,8186,7.99 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|empty_aug_mask_samples|epoch_seconds,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/summary.txt,1736,1.70 KiB,,,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/audit.json,1864,1.82 KiB,,script_version|build|architecture|seed|protocol_sha256|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|singleton_safe_batching|train_samples_dropped_per_epoch|training_empty_augmented_masks_allowed|original_source_masks_required_nonempty|source_val_masks_required_nonempty|total_empty_aug_mask_samples|train_min_batch_size|train_max_batch_size|persistent_workers|cublas_workspace_config|best_epoch|best_source_val_mean_dice|backbone_pretrain_descriptor|backbone_cache_path|backbone_cache_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/history.csv,8195,8.00 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|empty_aug_mask_samples|epoch_seconds,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/summary.txt,1736,1.70 KiB,,,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/audit.json,1864,1.82 KiB,,script_version|build|architecture|seed|protocol_sha256|manifest_sha256|source_train_n|source_val_n|seen_sanity_images_opened|seen_sanity_masks_opened|unseen_locked_images_opened|unseen_locked_masks_opened|target_metrics_computed|checkpoint_selection_metric|singleton_safe_batching|train_samples_dropped_per_epoch|training_empty_augmented_masks_allowed|original_source_masks_required_nonempty|source_val_masks_required_nonempty|total_empty_aug_mask_samples|train_min_batch_size|train_max_batch_size|persistent_workers|cublas_workspace_config|best_epoch|best_source_val_mean_dice|backbone_pretrain_descriptor|backbone_cache_path|backbone_cache_sha256|best_checkpoint|best_checkpoint_sha256|parameters_total|parameters_trainable|peak_gpu_memory_gb|training_seconds|decision,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/history.csv,8204,8.01 KiB,80,epoch|train_loss|source_val_mean_dice|source_val_median_dice|source_val_mean_iou|empty_aug_mask_samples|epoch_seconds,OK,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/summary.txt,1736,1.70 KiB,,,OK,99
PolypGen,outputs/S06_B0_polypgen_zip_structure_probe_v1/summary.txt,69137,67.52 KiB,,,OK,0
PolypGen,outputs/S06_B0_polypgen_zip_structure_probe_v1/zip_central_directory_inventory.csv,3055270,2.91 MiB,25118,member|is_dir|suffix|compressed_size|uncompressed_size|crc32_metadata_only|depth,OK,0
PolypGen,outputs/S06_B1_polypgen_pairing_name_probe_v1/summary.txt,18328,17.90 KiB,,,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/ambiguous_or_unpaired_members.csv,71,71.00 B,0,center|pair_stem|image_count|mask_count|image_members|mask_members,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/archive_inventory.csv,3055289,2.91 MiB,25118,member|is_dir|suffix|compressed_size|uncompressed_size|crc32_metadata_only|single_frame_kind|center,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/audit.json,1282,1.25 KiB,,script_version|build|protocol_sha256|archive_path|archive_sha256|archive_size_bytes|s01_manifest_sha256|existing_frozen_image_count|zip_metadata_audit|polypgen_single_frame_pair_count|center_pair_counts|published_expected_single_frames|exact_duplicate_external_samples|near_duplicate_hold_external_samples|eligible_pending_s06c_samples|polypgen_mask_bytes_opened|polypgen_masks_extracted|polypgen_mask_pixels_inspected|eligibility_used_mask_content|model_inference_performed|target_metrics_computed|decision,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/exact_duplicate_matches.csv,152,152.00 B,0,polypgen_center|polypgen_pair_stem|polypgen_image_member|existing_sample_id|existing_dataset|existing_role|raw_byte_sha_match|decoded_rgb_sha_match,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/near_duplicate_candidates.csv,187,187.00 B,0,polypgen_center|polypgen_pair_stem|polypgen_image_member|existing_sample_id|existing_dataset|existing_role|dhash_hamming|polypgen_width|polypgen_height|existing_width|existing_height,OK,0
PolypGen,outputs/S06_B_polypgen_integrity_overlap_audit_v1/polypgen_single_frame_image_fingerprints.csv,203,203.00 B,0,center|pair_stem|image_member|mask_member|image_member_uncompressed_size|mask_member_uncompressed_size|mask_member_crc32_metadata_only|raw_sha256|decoded_rgb_sha256|width|height|aspect_ratio|dhash64,OK,0
